entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-26 00:00:00+00:00,2026-02-26 01:00:00+00:00,-1,0.03,5163.54,5187.074952524918,5163.34,5187.274952524918,1,sl,-70.60485757475544,0.21,-72.01485757475434,9101.936121232493
2026-02-26 01:00:00+00:00,2026-02-26 15:00:00+00:00,-1,0.03,5188.14,5139.199373882294,5187.9400000000005,5139.349373882294,14,tp,146.82187835311925,0.21,145.56187835312087,9247.497999585614
2026-02-26 15:00:00+00:00,2026-02-26 16:00:00+00:00,-1,0.02,5163.8,5185.611134521472,5163.650000000001,5185.761134521472,1,sl,-43.622269042944026,0.14,-44.36226904294257,9203.135730542672
2026-02-26 16:00:00+00:00,2026-02-27 13:00:00+00:00,-1,0.02,5185.38,5210.066053484224,5185.2300000000005,5210.216053484223,20,sl,-49.37210696844704,0.14,-50.11210696844559,9153.023623574227
2026-02-27 13:00:00+00:00,2026-02-27 14:00:00+00:00,-1,0.04,5187.62,5204.304224381657,5187.47,5204.454224381657,1,sl,-66.73689752662904,0.28,-68.21689752662613,9084.8067260476
2026-02-27 14:00:00+00:00,2026-02-27 15:00:00+00:00,-1,0.03,5223.05,5242.332494068682,5222.900000000001,5242.482494068681,1,sl,-57.84748220604433,0.21,-58.957482206042144,9025.849243841558
2026-02-27 15:00:00+00:00,2026-02-27 16:00:00+00:00,-1,0.03,5223.71,5243.1787444923475,5223.56,5243.328744492347,1,sl,-58.4062334770424,0.21,-59.51623347704022,8966.333010364518
2026-02-27 17:00:00+00:00,2026-02-27 19:00:00+00:00,-1,0.02,5229.31,5250.701978669423,5229.160000000001,5250.851978669422,2,sl,-42.78395733884463,0.14,-43.523957338843175,8922.809053025676
2026-02-27 19:00:00+00:00,2026-02-27 21:00:00+00:00,-1,0.02,5244.95,5266.122726505777,5244.8,5266.2727265057765,2,sl,-42.34545301155413,0.14,-43.08545301155267,8879.723600014124
2026-02-27 21:00:00+00:00,2026-03-01 23:00:00+00:00,-1,0.03,5263.14,5283.415820303451,5262.990000000001,5283.565820303451,1,sl,-60.827460910352784,0.21,-61.937460910350595,8817.786139103773
2026-03-01 23:00:00+00:00,2026-03-02 01:00:00+00:00,-1,0.03,5374.72,5334.29919086502,5374.570000000001,5334.49919086502,2,tp,121.26242740494035,0.21,120.00242740494198,8937.788566508716
2026-03-02 01:00:00+00:00,2026-03-02 06:00:00+00:00,-1,0.02,5347.51,5376.1344814893155,5347.31,5376.334481489315,5,sl,-57.248962978630516,0.14,-58.188962978629796,8879.599603530087
2026-03-02 06:00:00+00:00,2026-03-02 07:00:00+00:00,-1,0.02,5365.99,5394.665460086594,5365.79,5394.865460086594,1,sl,-57.35092017318857,0.14,-58.29092017318785,8821.3086833569
2026-03-02 07:00:00+00:00,2026-03-02 08:00:00+00:00,-1,0.02,5387.83,5416.344355794695,5387.63,5416.4943557946945,1,sl,-57.02871158938979,0.14,-57.868711589388695,8763.439971767511
2026-03-02 08:00:00+00:00,2026-03-02 14:00:00+00:00,-1,0.02,5408.06,5350.231910666997,5407.910000000001,5350.381910666996,6,tp,115.6561786660077,0.14,114.91617866600915,8878.356150433521
2026-03-02 14:00:00+00:00,2026-03-02 15:00:00+00:00,-1,0.03,5393.87,5339.674190209683,5393.72,5339.8241902096825,1,tp,162.5874293709512,0.21,161.4774293709534,9039.833579804475
2026-03-02 15:00:00+00:00,2026-03-02 16:00:00+00:00,-1,0.02,5329.31,5266.409605194705,5329.160000000001,5266.559605194705,1,tp,125.80078961059007,0.14,125.06078961059153,9164.894369415068
2026-03-02 16:00:00+00:00,2026-03-03 00:00:00+00:00,-1,0.01,5315.4,5347.481611873886,5315.25,5347.681611873886,7,sl,-32.081611873886686,0.07,-32.50161187388614,9132.392757541182
2026-03-03 03:00:00+00:00,2026-03-03 06:00:00+00:00,-1,0.02,5366.88,5305.105252258505,5366.68,5305.305252258505,3,tp,123.5494954829901,0.14,122.60949548299084,9255.002253024173
2026-03-03 14:00:00+00:00,2026-03-03 15:00:00+00:00,-1,0.01,5157.07,5049.644285649005,5156.92,5049.794285649004,1,tp,107.42571435099491,0.07,107.05571435099563,9362.057967375169
2026-03-03 19:00:00+00:00,2026-03-04 10:00:00+00:00,-1,0.01,5136.19,5197.328270529508,5136.04,5197.478270529507,14,sl,-61.13827052950819,0.07,-61.50827052950746,9300.549696845661
2026-03-04 10:00:00+00:00,2026-03-05 11:00:00+00:00,-1,0.02,5182.36,5164.17,5182.21,5164.32,24,vertical,36.3799999999992,0.14,35.640000000000654,9336.189696845662
2026-03-05 11:00:00+00:00,2026-03-05 13:00:00+00:00,-1,0.03,5164.13,5107.4964608379405,5163.9800000000005,5107.64646083794,2,tp,169.90061748617882,0.21,168.790617486181,9504.980314331844
2026-03-05 13:00:00+00:00,2026-03-05 14:00:00+00:00,-1,0.03,5162.97,5111.242509600062,5162.820000000001,5111.392509600061,1,tp,155.18247119981606,0.21,154.07247119981824,9659.052785531663
2026-03-05 14:00:00+00:00,2026-03-05 16:00:00+00:00,-1,0.03,5118.44,5058.654473200057,5118.29,5058.804473200056,2,tp,179.356580399829,0.21,178.24658039983115,9837.299365931494
2026-03-05 16:00:00+00:00,2026-03-06 01:00:00+00:00,-1,0.01,5102.84,5135.353556196915,5102.6900000000005,5135.5535561969145,8,sl,-32.51355619691458,0.07,-32.93355619691403,9804.36580973458
2026-03-06 01:00:00+00:00,2026-03-06 02:00:00+00:00,-1,0.02,5084.17,5114.221097117794,5083.97,5114.421097117794,1,sl,-60.10219423558738,0.14,-61.04219423558665,9743.323615498994
2026-03-06 02:00:00+00:00,2026-03-06 11:00:00+00:00,-1,0.02,5134.11,5067.350819638383,5133.91,5067.500819638382,9,tp,133.51836072323385,0.14,132.67836072323496,9876.00197622223
2026-03-06 11:00:00+00:00,2026-03-06 13:00:00+00:00,-1,0.02,5091.17,5116.9751620092375,5091.02,5117.125162009237,2,sl,-51.610324018474785,0.14,-52.35032401847333,9823.651652203756
2026-03-06 13:00:00+00:00,2026-03-06 14:00:00+00:00,-1,0.02,5083.18,5109.331389691639,5083.030000000001,5109.4813896916385,1,sl,-52.302779383277084,0.14,-53.04277938327564,9770.608872820481
2026-03-06 14:00:00+00:00,2026-03-06 15:00:00+00:00,-1,0.02,5085.18,5114.13629042795,5085.030000000001,5114.28629042795,1,sl,-57.91258085590017,0.14,-58.65258085589871,9711.956291964583
2026-03-06 15:00:00+00:00,2026-03-06 18:00:00+00:00,-1,0.02,5130.42,5160.952269683096,5130.27,5161.102269683096,3,sl,-61.06453936619255,0.14,-61.804539366191094,9650.151752598393
2026-03-06 18:00:00+00:00,2026-03-06 19:00:00+00:00,-1,0.02,5140.7,5171.283821608514,5140.55,5171.433821608513,1,sl,-61.167643217027944,0.14,-61.90764321702649,9588.244109381367
2026-03-06 19:00:00+00:00,2026-03-08 22:00:00+00:00,-1,0.02,5161.27,5191.729262922192,5161.120000000001,5191.879262922192,3,sl,-60.91852584438311,0.14,-61.65852584438166,9526.585583536986
2026-03-08 22:00:00+00:00,2026-03-08 23:00:00+00:00,-1,0.03,5180.25,5124.5758668804265,5180.1,5124.725866880426,1,tp,167.02239935872058,0.21,165.91239935872275,9692.49798289571
2026-03-08 23:00:00+00:00,2026-03-09 00:00:00+00:00,-1,0.02,5130.21,5065.02401924611,5130.06,5065.2240192461095,1,tp,130.37196150778072,0.14,129.53196150778183,9822.029944403492
2026-03-09 03:00:00+00:00,2026-03-09 05:00:00+00:00,-1,0.01,5094.62,5135.388483656703,5094.42,5135.588483656703,2,sl,-40.76848365670321,0.07,-41.23848365670285,9780.791460746788
2026-03-09 05:00:00+00:00,2026-03-09 06:00:00+00:00,-1,0.01,5090.25,5127.637314989709,5090.05,5127.837314989709,1,sl,-37.38731498970901,0.07,-37.85731498970865,9742.934145757079
2026-03-09 06:00:00+00:00,2026-03-10 01:00:00+00:00,-1,0.02,5124.26,5163.228221061872,5124.06,5163.428221061872,18,sl,-77.9364421237442,0.14,-78.87644212374347,9664.057703633336
2026-03-10 01:00:00+00:00,2026-03-10 02:00:00+00:00,-1,0.03,5130.16,5159.591213629303,5129.96,5159.791213629303,1,sl,-88.29364088790862,0.21,-89.70364088790753,9574.35406274543
2026-03-10 02:00:00+00:00,2026-03-10 13:00:00+00:00,-1,0.02,5184.25,5215.965412655782,5184.05,5216.115412655781,11,sl,-63.43082531156325,0.14,-64.27082531156215,9510.083237433868
2026-03-10 13:00:00+00:00,2026-03-10 14:00:00+00:00,-1,0.03,5187.01,5211.628875823297,5186.860000000001,5211.778875823296,1,sl,-73.85662746988964,0.21,-74.96662746988746,9435.116609963981
2026-03-10 14:00:00+00:00,2026-03-10 15:00:00+00:00,-1,0.03,5205.68,5231.593241835919,5205.530000000001,5231.7432418359185,1,sl,-77.7397255077558,0.21,-78.8497255077536,9356.266884456229
2026-03-10 15:00:00+00:00,2026-03-10 16:00:00+00:00,-1,0.03,5206.82,5232.950153133353,5206.67,5233.100153133352,1,sl,-78.39045940005872,0.21,-79.50045940005653,9276.766425056172
2026-03-10 16:00:00+00:00,2026-03-10 18:00:00+00:00,-1,0.03,5229.29,5175.721144180917,5229.14,5175.871144180916,2,tp,160.70656745724955,0.21,159.59656745725172,9436.362992513425
2026-03-10 18:00:00+00:00,2026-03-11 08:00:00+00:00,-1,0.03,5227.71,5178.154915135587,5227.56,5178.304915135586,13,tp,148.6652545932402,0.21,147.55525459324238,9583.918247106667
2026-03-11 08:00:00+00:00,2026-03-11 13:00:00+00:00,-1,0.03,5195.42,5151.460057630117,5195.27,5151.610057630117,5,tp,131.87982710964843,0.21,130.7698271096506,9714.688074216318
2026-03-11 13:00:00+00:00,2026-03-11 14:00:00+00:00,-1,0.03,5167.57,5189.390942410845,5167.42,5189.540942410845,1,sl,-65.46282723253626,0.21,-66.57282723253407,9648.115246983783
2026-03-11 14:00:00+00:00,2026-03-11 22:00:00+00:00,-1,0.02,5176.9,5131.522535522716,5176.75,5131.672535522715,7,tp,90.75492895456773,0.14,90.01492895456919,9738.130175938353
2026-03-11 22:00:00+00:00,2026-03-11 23:00:00+00:00,-1,0.04,5178.53,5138.763558085975,5178.38,5138.913558085975,1,tp,159.06576765609861,0.28,157.58576765610152,9895.715943594454
2026-03-11 23:00:00+00:00,2026-03-12 00:00:00+00:00,-1,0.03,5138.68,5160.983705174369,5138.530000000001,5161.183705174369,1,sl,-66.91111552310576,0.21,-68.17111552310412,9827.54482807135
2026-03-12 00:00:00+00:00,2026-03-12 01:00:00+00:00,-1,0.02,5134.41,5156.885583376199,5134.21,5157.085583376199,1,sl,-44.95116675239842,0.14,-45.891166752397694,9781.653661318953
2026-03-12 01:00:00+00:00,2026-03-12 07:00:00+00:00,-1,0.03,5153.04,5176.460184563613,5152.84,5176.660184563613,6,sl,-70.26055369084042,0.21,-71.67055369083933,9709.983107628113
